Team,Player_ID,Player_Name
ATL,brownri01,Rickey Brown
ATL,davisjo01,Johnny Davis
ATL,edmonke01,Keith Edmonson
ATL,glennmi01,Mike Glenn
ATL,hastisc01,Scott Hastings
ATL,hawesst01,Steve Hawes
ATL,johnsed02,Eddie Johnson
ATL,johnsge02,George Johnson
ATL,macklru01,Rudy Macklin
ATL,matthwe01,Wes Matthews
ATL,mcmilto01,Tom McMillen
ATL,pellosa01,Sam Pellom
ATL,rollitr01,Tree Rollins
ATL,roundda01,Dan Roundfield
ATL,smithra01,Randy Smith
ATL,sparrro01,Rory Sparrow
ATL,wilkido01,Dominique Wilkins
BOS,aingeda01,Danny Ainge
BOS,architi01,Tiny Archibald
BOS,birdla01,Larry Bird
BOS,bradlch01,Charles Bradley
BOS,bucknqu01,Quinn Buckner
BOS,carrml01,M.L. Carr
BOS,hendege01,Gerald Henderson
BOS,maxwece01,Cedric Maxwell
BOS,mchalke01,Kevin McHale
BOS,parisro01,Robert Parish
BOS,robeyri01,Rick Robey
BOS,tillida01,Darren Tillis
BOS,wedmasc01,Scott Wedman
CHI,bradldu01,Dudley Bradley
CHI,bratzmi01,Mike Bratz
CHI,corzida01,Dave Corzine
CHI,dailequ01,Quintin Dailey
CHI,greenda01,Dave Greenwood
CHI,higgiro01,Rod Higgins
CHI,jackstr01,Tracy Jackson
CHI,jonesdw01,Dwight Jones
CHI,kenonla01,Larry Kenon
CHI,lestero01,Ronnie Lester
CHI,olberma01,Mark Olberding
CHI,oldhaja01,Jawann Oldham
CHI,sprigla01,Larry Spriggs
CHI,theusre01,Reggie Theus
CHI,woolror01,Orlando Woolridge
CLE,baglejo01,John Bagley
CLE,brewero01,Ron Brewer
CLE,cookje01,Jeff Cook
CLE,edwarja01,James Edwards
CLE,flowebr01,Bruce Flowers
CLE,freewo01,World B. Free
CLE,hayesst01,Steve Hayes
CLE,hubbaph01,Phil Hubbard
CLE,hustoge01,Geoff Huston
CLE,kenonla01,Larry Kenon
CLE,laceysa01,Sam Lacey
CLE,magleda01,Dave Magley
CLE,mokespa01,Paul Mokeski
CLE,nicksca01,Carl Nicks
CLE,robincl01,Cliff Robinson
CLE,tillida01,Darren Tillis
CLE,wedmasc01,Scott Wedman
CLE,wilkebo01,Bob Wilkerson
DAL,aguirma01,Mark Aguirre
DAL,blackro01,Rolando Blackman
DAL,bristal01,Allan Bristow
DAL,cummipa01,Pat Cummings
DAL,davisbr01,Brad Davis
DAL,garnebi02,Bill Garnett
DAL,lloydsc01,Scott Lloyd
DAL,nimphku01,Kurt Nimphius
DAL,ranseke01,Kelvin Ransey
DAL,spanaji01,Jim Spanarkel
DAL,thompco01,Corny Thompson
DAL,turneel01,Elston Turner
DAL,vinceja01,Jay Vincent
DEN,anderdw01,Dwight Anderson
DEN,dunntr01,T.R. Dunn
DEN,englial01,Alex English
DEN,evansmi01,Mike Evans
DEN,gondrgl01,Glen Gondrezick
DEN,hanzlbi01,Bill Hanzlik
DEN,isselda01,Dan Issel
DEN,kelleri01,Rich Kelley
DEN,mckinbi01,Billy McKinney
DEN,rayja01,James Ray
DEN,robisda01,Dave Robisch
DEN,schayda01,Danny Schayes
DEN,vandeki01,Kiki Vandeweghe
DEN,williro02,Rob Williams
DET,bensoke01,Kent Benson
DET,johnsvi01,Vinnie Johnson
DET,johnsji01,Jim Johnstone
DET,jonesed01,Edgar Jones
DET,laimbbi01,Bill Laimbeer
DET,levincl01,Cliff Levingston
DET,longjo01,John Long
DET,maysc01,Scott May
DET,owensto01,Tom Owens
DET,piercri01,Ricky Pierce
DET,russewa01,Walker Russell
DET,smithji01,Jim Smith
DET,thomais01,Isiah Thomas
DET,tolbera01,Ray Tolbert
DET,tripuke01,Kelly Tripucka
DET,tylerte01,Terry Tyler
DET,wilkeja02,James Wilkes
DET,zoetji01,Jim Zoet
GSW,brewero01,Ron Brewer
GSW,brownri01,Rickey Brown
GSW,carrojo01,Joe Barry Carroll
GSW,connele01,Lester Conner
GSW,duerote01,Terry Duerod
GSW,englech01,Chris Engler
GSW,floydsl01,Sleepy Floyd
GSW,freewo01,World B. Free
GSW,hassejo01,Joe Hassett
GSW,johnsmi01,Mickey Johnson
GSW,kenonla01,Larry Kenon
GSW,lloydle01,Lewis Lloyd
GSW,mcdowha01,Hank McDowell
GSW,richami01,Michael Ray Richardson
GSW,romarlo01,Lorenzo Romar
GSW,shortpu01,Purvis Short
GSW,smithde02,Derek Smith
GSW,smithla01,Larry Smith
GSW,willisa02,Sam Williams
HOU,baileja01,James Bailey
HOU,bryanjo01,Joe Bryant
HOU,garreca01,Calvin Garrett
HOU,hayesel01,Elvin Hayes
HOU,hendeto01,Tom Henderson
HOU,jonesca01,Caldwell Jones
HOU,jonesma01,Major Jones
HOU,leaveal01,Allen Leavell
HOU,murphca01,Calvin Murphy
HOU,nevitch01,Chuck Nevitt
HOU,paultbi01,Billy Paultz
HOU,tayloje01,Jeff Taylor
HOU,teaglte01,Terry Teagle
HOU,walkewa01,Wally Walker
IND,bransbr01,Brad Branson
IND,byrnema01,Marty Byrnes
IND,cartebu01,Butch Carter
IND,durenjo01,John Duren
IND,johnscl01,Clemon Johnson
IND,johnsge03,George Johnson
IND,kellocl01,Clark Kellogg
IND,knighbi01,Billy Knight
IND,morgagu01,Guy Morgan
IND,schoeru01,Russ Schoene
IND,sichtje01,Jerry Sichting
IND,slaugjo01,Jose Slaughter
IND,willihe01,Herb Williams
KCK,dennake01,Kenny Dennard
KCK,douglle01,Leon Douglas
KCK,drewla01,Larry Drew
KCK,johnsed03,Eddie Johnson
KCK,johnsre01,Reggie Johnson
KCK,johnsst03,Steve Johnson
KCK,kingre01,Reggie King
KCK,loderke01,Kevin Loder
KCK,meriwjo01,Joe Meriweather
KCK,nealyed01,Ed Nealy
KCK,steppbr01,Brook Steppe
KCK,thompla01,LaSalle Thompson
KCK,willira01,Ray Williams
KCK,woodsmi01,Mike Woodson
LAL,abdulka01,Kareem Abdul-Jabbar
LAL,batesbi01,Billy Ray Bates
LAL,coopejo01,Joe Cooper
LAL,coopemi01,Michael Cooper
LAL,johnscl02,Clay Johnson
LAL,johnsma02,Magic Johnson
LAL,jonesdw01,Dwight Jones
LAL,jordaed01,Eddie Jordan
LAL,landsma01,Mark Landsberger
LAL,mcadobo01,Bob McAdoo
LAL,mcgeemi01,Mike McGee
LAL,mixst01,Steve Mix
LAL,nixonno01,Norm Nixon
LAL,rambiku01,Kurt Rambis
LAL,wilkeja01,Jamaal Wilkes
LAL,worthja01,James Worthy
MIL,bridgju01,Junior Bridgeman
MIL,catchha01,Harvey Catchings
MIL,cowenda01,Dave Cowens
MIL,crissch01,Charlie Criss
MIL,fordph01,Phil Ford
MIL,hillar01,Armond Hill
MIL,johnsma01,Marques Johnson
MIL,johnsmi01,Mickey Johnson
MIL,laniebo01,Bob Lanier
MIL,listeal01,Alton Lister
MIL,mixst01,Steve Mix
MIL,mokespa01,Paul Mokeski
MIL,moncrsi01,Sidney Moncrief
MIL,pellosa01,Sam Pellom
MIL,presspa01,Paul Pressey
MIL,wintebr01,Brian Winters
NJN,baileja01,James Bailey
NJN,birdsot01,Otis Birdsong
NJN,cookda01,Darwin Cook
NJN,dawkida01,Darryl Dawkins
NJN,elmorle01,Len Elmore
NJN,floydsl01,Sleepy Floyd
NJN,fordph01,Phil Ford
NJN,gminsmi01,Mike Gminski
NJN,johnsmi01,Mickey Johnson
NJN,kingal01,Albert King
NJN,okoremi01,Mike O'Koren
NJN,philled01,Eddie Phillips
NJN,richami01,Michael Ray Richardson
NJN,vanbrja01,Jan van Breda Kolff
NJN,walkefo01,Foots Walker
NJN,willibu01,Buck Williams
NJN,willobi01,Bill Willoughby
NYK,cartwbi01,Bill Cartwright
NYK,davismi03,Mike Davis
NYK,grunfer01,Ernie Grunfeld
NYK,hastisc01,Scott Hastings
NYK,kingbe01,Bernard King
NYK,orrlo01,Louis Orr
NYK,robintr01,Truck Robinson
NYK,sheroed01,Ed Sherod
NYK,sparrro01,Rory Sparrow
NYK,taylovi01,Vince Taylor
NYK,tucketr01,Trent Tucker
NYK,webstma01,Marvin Webster
NYK,westppa01,Paul Westphal
NYK,willisl01,Sly Williams
PHI,anderjj01,J.J. Anderson
PHI,cheekma01,Maurice Cheeks
PHI,curetea01,Earl Cureton
PHI,edwarfr01,Franklin Edwards
PHI,ervinju01,Julius Erving
PHI,iavarma01,Marc Iavaroni
PHI,johnscl01,Clemon Johnson
PHI,johnsre01,Reggie Johnson
PHI,jonesbo01,Bobby Jones
PHI,malonmo01,Moses Malone
PHI,mcnamma01,Mark McNamara
PHI,richacl01,Clint Richardson
PHI,schoeru01,Russ Schoene
PHI,toneyan01,Andrew Toney
PHO,adamsal01,Alvan Adams
PHO,cookje01,Jeff Cook
PHO,daviswa03,Walter Davis
PHO,edwarja01,James Edwards
PHO,highjo01,Johnny High
PHO,johnsde01,Dennis Johnson
PHO,kramejo01,Joel Kramer
PHO,lucasma01,Maurice Lucas
PHO,macyky01,Kyle Macy
PHO,nancela01,Larry Nance
PHO,pittmch01,Charles Pittman
PHO,scottal01,Alvin Scott
PHO,thirdda01,David Thirdkill
PHO,whitero01,Rory White
POR,busedo01,Don Buse
POR,carrke01,Kenny Carr
POR,coopewa01,Wayne Cooper
POR,judkije01,Jeff Judkins
POR,lampje01,Jeff Lamp
POR,leverfa01,Fat Lever
POR,mcdowha01,Hank McDowell
POR,nattca01,Calvin Natt
POR,norriau01,Audie Norris
POR,paxsoji02,Jim Paxson
POR,thompmy01,Mychal Thompson
POR,towneli01,Linton Townes
POR,valenda01,Darnell Valentine
POR,verhope01,Pete Verhoeven
SAS,banksge01,Gene Banks
SAS,crompge01,Geoff Crompton
SAS,dietrco01,Coby Dietrick
SAS,dunlemi01,Mike Dunleavy
SAS,gervige01,George Gervin
SAS,gilmoar01,Artis Gilmore
SAS,griffpa01,Paul Griffin
SAS,johnsji01,Jim Johnstone
SAS,jonesed01,Edgar Jones
SAS,mitchmi01,Mike Mitchell
SAS,moorejo01,Johnny Moore
SAS,paultbi01,Billy Paultz
SAS,pheglro01,Roger Phegley
SAS,rainsed01,Ed Rains
SAS,robinol01,Oliver Robinson
SAS,sandemi01,Mike Sanders
SAS,smithro01,Robert Smith
SAS,willobi01,Bill Willoughby
SDC,anderri01,Richard Anderson
SDC,brogaji01,Jim Brogan
SDC,brookmi01,Michael Brooks
SDC,chambto01,Tom Chambers
SDC,coopejo01,Joe Cooper
SDC,cummite01,Terry Cummings
SDC,dougljo01,John Douglas
SDC,grossbo01,Bob Gross
SDC,hodgecr01,Craig Hodges
SDC,hollili01,Lionel Hollins
SDC,joneshu01,Hutch Jones
SDC,moorelo01,Lowes Moore
SDC,natersw01,Swen Nater
SDC,smithra01,Randy Smith
SDC,smithro01,Robert Smith
SDC,waltobi01,Bill Walton
SDC,whiteje01,Jerome Whitehead
SDC,woodal01,Al Wood
SEA,brownfr01,Fred Brown
SEA,donalja01,James Donaldson
SEA,greigjo01,John Greig
SEA,hawesst01,Steve Hawes
SEA,kelsegr01,Greg Kelser
SEA,radfoma01,Mark Radford
SEA,sheltlo01,Lonnie Shelton
SEA,sikmaja01,Jack Sikma
SEA,smithph01,Phil Smith
SEA,thompda01,David Thompson
SEA,tolbera01,Ray Tolbert
SEA,vraneda01,Danny Vranes
SEA,willigu01,Gus Williams
UTA,anderjj01,J.J. Anderson
UTA,dantlad01,Adrian Dantley
UTA,drewjo01,John Drew
UTA,eatonma01,Mark Eaton
UTA,eavesje01,Jerry Eaves
UTA,greenri01,Rickey Green
UTA,griffda01,Darrell Griffith
UTA,kelleri01,Rich Kelley
UTA,nattke01,Kenny Natt
UTA,poquebe01,Ben Poquette
UTA,schayda01,Danny Schayes
UTA,wilkije01,Jeff Wilkins
UTA,willifr01,Freeman Williams
UTA,williri01,Rickey Williams
WSB,ballagr01,Greg Ballard
WSB,batesbi01,Billy Ray Bates
WSB,battoda01,Dave Batton
WSB,collido02,Don Collins
WSB,coopejo01,Joe Cooper
WSB,coxch01,Chubby Cox
WSB,davisch02,Charles Davis
WSB,greveke01,Kevin Grevey
WSB,haywosp01,Spencer Haywood
WSB,johnsfr01,Frank Johnson
WSB,kopicjo01,Joe Kopicki
WSB,lingest01,Steve Lingenfelter
WSB,lucasjo01,John Lucas
WSB,mahorri01,Rick Mahorn
WSB,porteke01,Kevin Porter
WSB,rulanje01,Jeff Ruland
WSB,soberri01,Ricky Sobers
WSB,terryca01,Carlos Terry
WSB,warribr01,Bryan Warrick
